MODULE;NIVEAU;;;;QUESTIONS;;;REPONSES;;;;;;;;;;;;;;;;;;;;;;;
Nom du module; A quel niveau appartient cette question ?;Nom du niveau;Message d'entrée;Message de sortie;Question;Niveau de difficulté;Type de jeu;Bonne réponse;Check réponse;Reponse 1;Reponse 2;Reponse 3;Reponse 4;Reponse 5;Reponse 6;Reponse 7;Reponse 8;;;;;;;;;;;;;;
Lean Canvas;1;Tâter le terrain;Salut ! Je suis Aziz de Impact Hub et je vais vous faire découvrir la méthodologie Lean Canvas ! Il est d'abord impératif de bien connaître ses clients et leurs différentes typologies afin d'adapter votre offre de produit ou service.;En connaissant sommairement les infos relatives à vos clients, vous avez pu définir des offres ciblées et ainsi accroître votre revenu. Bravo !;Le persona est un personnage qui représente les clients ou prospects d'une entreprise;Facile;Phrase à trous;1;OK;les clients ou prospects;les fournisseurs;;;;;;;;;;;;;;;;;;;;
Lean Canvas;1;Tâter le terrain;Salut ! Je suis Aziz de Impact Hub et je vais vous faire découvrir la méthodologie Lean Canvas ! Il est d'abord impératif de bien connaître ses clients et leurs différentes typologies afin d'adapter votre offre de produit ou service.;En connaissant sommairement les infos relatives à vos clients, vous avez pu définir des offres ciblées et ainsi accroître votre revenu. Bravo !;Pourquoi élaborer un persona ?;Moyen;Quizz;1;OK;guider vos efforts marketing;améliorer les process;contrôler les clients;trouver des financements;;;;;;;;;;;;;;;;;;
Lean Canvas;1;Tâter le terrain;Salut ! Je suis Aziz de Impact Hub et je vais vous faire découvrir la méthodologie Lean Canvas ! Il est d'abord impératif de bien connaître ses clients et leurs différentes typologies afin d'adapter votre offre de produit ou service.;En connaissant sommairement les infos relatives à vos clients, vous avez pu définir des offres ciblées et ainsi accroître votre revenu. Bravo !;Les personae comportent plusieurs types de données.;Moyen;Quizz;1;OK;Vrai ;Faux;;;;;;;;;;;;;;;;;;;;
Lean Canvas;1;Tâter le terrain;Salut ! Je suis Aziz de Impact Hub et je vais vous faire découvrir la méthodologie Lean Canvas ! Il est d'abord impératif de bien connaître ses clients et leurs différentes typologies afin d'adapter votre offre de produit ou service.;En connaissant sommairement les infos relatives à vos clients, vous avez pu définir des offres ciblées et ainsi accroître votre revenu. Bravo !;Les données démographiques sont importantes dans un persona.;Facile;Quizz;1;OK;Vrai ;Faux;;;;;;;;;;;;;;;;;;;;
Lean Canvas;1;Tâter le terrain;Salut ! Je suis Aziz de Impact Hub et je vais vous faire découvrir la méthodologie Lean Canvas ! Il est d'abord impératif de bien connaître ses clients et leurs différentes typologies afin d'adapter votre offre de produit ou service.;En connaissant sommairement les infos relatives à vos clients, vous avez pu définir des offres ciblées et ainsi accroître votre revenu. Bravo !;Les éléments tels que les besoins, désirs, croyances et aspirations peuvent être qualifiés de données...;Moyen;Quizz;2;OK;Démographiques;Psychographiques;financières;Sociales;;;;;;;;;;;;;;;;;;
Lean Canvas;1;Tâter le terrain;Salut ! Je suis Aziz de Impact Hub et je vais vous faire découvrir la méthodologie Lean Canvas ! Il est d'abord impératif de bien connaître ses clients et leurs différentes typologies afin d'adapter votre offre de produit ou service.;En connaissant sommairement les infos relatives à vos clients, vous avez pu définir des offres ciblées et ainsi accroître votre revenu. Bravo !;Les persona négatifs représentent...;Moyen;Quizz;1;OK;les clients ou prospects indésirables;des méchants;Un ancien client mauvais payeur;un client désintéressé;;;;;;;;;;;;;;;;;;
Lean Canvas;1;Tâter le terrain;Salut ! Je suis Aziz de Impact Hub et je vais vous faire découvrir la méthodologie Lean Canvas ! Il est d'abord impératif de bien connaître ses clients et leurs différentes typologies afin d'adapter votre offre de produit ou service.;En connaissant sommairement les infos relatives à vos clients, vous avez pu définir des offres ciblées et ainsi accroître votre revenu. Bravo !;Les exclusionary personna nous permettent de gagner ...;Facile;Quizz;2;OK;du temps donc de l'argent;des clients donc de l'argent;;;;;;;;;;;;;;;;;;;;
Lean Canvas;1;Tâter le terrain;Salut ! Je suis Aziz de Impact Hub et je vais vous faire découvrir la méthodologie Lean Canvas ! Il est d'abord impératif de bien connaître ses clients et leurs différentes typologies afin d'adapter votre offre de produit ou service.;En connaissant sommairement les infos relatives à vos clients, vous avez pu définir des offres ciblées et ainsi accroître votre revenu. Bravo !;les 3 principaux éléments de la modélisation sont prénom, image et description.;Moyen;Phrase à trous;1;OK;prénom, image et description;prénom, nom et aspirations;prénom, nom et motivation;prénom, nom et âge;;;;;;;;;;;;;;;;;;
Lean Canvas;2;Bien collecter, très bien traiter !;La collecte des infos et leur traitement sont des étapes indispensables à la réalisation d'un persona. En connaissez-vous les différentes phases ?;En classifiant les types de données relatives à vos clients, vous avez pu réduire et repréciser votre champ d'application ce qui a favorablement impacté sur les commandes. Well done !;Collecte d'information;Facile;Nuage de mots;1,2,4,5,6;OK;Google Analytics;SEO;espionnage;réseaux sociaux;entretiens téléphoniques;focus groupe;publicité;instinct;;;;;;;;;;;;;;
Lean Canvas;2;Bien collecter, très bien traiter !;La collecte des infos et leur traitement sont des étapes indispensables à la réalisation d'un persona. En connaissez-vous les différentes phases ?;En classifiant les types de données relatives à vos clients, vous avez pu réduire et repréciser votre champ d'application ce qui a favorablement impacté sur les commandes. Well done !;Pour un persona, on ne récolte que des informations qualitatives, jamais de quantitatif.;Moyen;Quizz;2;OK;Vrai ;Faux;;;;;;;;;;;;;;;;;;;;
