MODULE;NIVEAU;;;;QUESTIONS;;;REPONSES;;;;;;;;;;;;;;;;;;;;;;;
Nom du module; A quel niveau appartient cette question ?;Nom du niveau;Message d'entrée;Message de sortie;Question;Niveau de difficulté;Type de jeu;Bonne réponse;Check réponse;Reponse 1;Reponse 2;Reponse 3;Reponse 4;Reponse 5;Reponse 6;Reponse 7;Reponse 8;;;;;;;;;;;;;;
Structuration;1;Définition de sa structure;Vous vous apprêtez à formaliser votre structure, pensez bien à la forme juridique qu'elle pourra prendre !;C'est bon, votre structure est lancée, vous disposez du cadre légal indispensable pour faire avancer votre entreprise !;Quelles sont les formes juridiques pour une société avec des associés  ?;Moyen ;Nuage de mots;2,3,5,6,7,8;OK;Entreprise individuelle;SAS ;GIE;Association;SA;SARL;SURL;SNC;;;;;;;;;;;;;;
Structuration;1;Définition de sa structure;Vous vous apprêtez à formaliser votre structure, pensez bien à la forme juridique qu'elle pourra prendre !;C'est bon, votre structure est lancée, vous disposez du cadre légal indispensable pour faire avancer votre entreprise !;Quelle forme juridique pour un entrepreneur ayant 2 associés et un capital de 5.000.000 XOF ?;Moyen ;Nuage de mots;1,3;OK;SAS;GIE;SARL;SNC;;;;;;;;;;;;;;;;;;
Structuration;1;Définition de sa structure;Vous vous apprêtez à formaliser votre structure, pensez bien à la forme juridique qu'elle pourra prendre !;C'est bon, votre structure est lancée, vous disposez du cadre légal indispensable pour faire avancer votre entreprise !;Qui peut bénéficier d'une dénomination sociale ?;Moyen ;Nuage de mots;1,2,3,4,5;OK;Entreprise individuelle;SAS ;GIE;Association;SARL;Collectif;Regroupement familial;Cabinet;;;;;;;;;;;;;;
Structuration;1;Définition de sa structure;Vous vous apprêtez à formaliser votre structure, pensez bien à la forme juridique qu'elle pourra prendre !;C'est bon, votre structure est lancée, vous disposez du cadre légal indispensable pour faire avancer votre entreprise !;Quel revenu minimal faut il pour créer son entreprise ?;Moyen ;Quizz;4;OK;5.000;50.000;500.000;0;;;;;;;;;;;;;;;;;;
Structuration;1;Définition de sa structure;Vous vous apprêtez à formaliser votre structure, pensez bien à la forme juridique qu'elle pourra prendre !;C'est bon, votre structure est lancée, vous disposez du cadre légal indispensable pour faire avancer votre entreprise !;Une association oeuvre pour;Difficile;Quizz;2;OK;Droit des enfants;But non lucratif;But lucratif sans Directeur;l'Etat;;;;;;;;;;;;;;;;;;
Structuration;2;Environnement juridique sénégalais;Tout comme il faut connaître son environnement concurrentiel, vous vous devez de maîtriser votre environnement juridique !;De nombreux entrepreneurs ont réussi en trouvant un avantage juridique dans leur activité. Soyez prêts à en faire de même !;Quelles sont les structures sociales du Sénégal ?;Moyen ;Nuage de mots;1,4;OK;IPRES;DGID;ADEPME;CSS;APIX;Bureau de Mise à Niveau (BMN);;;;;;;;;;;;;;;;
Structuration;2;Environnement juridique sénégalais;Tout comme il faut connaître son environnement concurrentiel, vous vous devez de maîtriser votre environnement juridique !;De nombreux entrepreneurs ont réussi en trouvant un avantage juridique dans leur activité. Soyez prêts à en faire de même !;Quelles sont les organismes de formalisation au Sénégal ?;Moyen ;Nuage de mots;1,2,4;OK;Chambre de commerce;APIX;ADIE;Tribunaux;BCE;Notaires;;;;;;;;;;;;;;;;
Structuration;2;Environnement juridique sénégalais;Tout comme il faut connaître son environnement concurrentiel, vous vous devez de maîtriser votre environnement juridique !;De nombreux entrepreneurs ont réussi en trouvant un avantage juridique dans leur activité. Soyez prêts à en faire de même !;Quel est la part d'emplois générés par le secteur informel au Sénégal (2019) ?;Facile;Nuage de mots;1;OK;96%;3%;65%;78%;;;;;;;;;;;;;;;;;;
Structuration;3;Impôts;Créer une structure ne suffit pas pour être formalisé. Aux yeux de l'Etat, il faut également payer ses impôts !;Vous l'avez compris, les impôts permettent d'éviter le risque d'infraction qui peut être fatal ! D'autant que des outils comme le Sen Startup Act vous exonèrent au début !;En tant que consultant indépendant, quelle taxe doit figurer dans la facture ?;Difficile;Quizz;3;OK;TVA;IR;BRS;CGU;;;;;;;;;;;;;;;;;;
Structuration;3;Impôts;Créer une structure ne suffit pas pour être formalisé. Aux yeux de l'Etat, il faut également payer ses impôts !;Vous l'avez compris, les impôts permettent d'éviter le risque d'infraction qui peut être fatal ! D'autant que des outils comme le Sen Startup Act vous exonèrent au début !;Quelle est l'échéance pour verser ses taxes sociale ?;Moyen ;Quizz;4;OK;Le 1er janvier;Le 1er Juin;Tous les 6 mois;Le 15 de chaque mois;;;;;;;;;;;;;;;;;;
Structuration;3;Impôts;Créer une structure ne suffit pas pour être formalisé. Aux yeux de l'Etat, il faut également payer ses impôts !;Vous l'avez compris, les impôts permettent d'éviter le risque d'infraction qui peut être fatal ! D'autant que des outils comme le Sen Startup Act vous exonèrent au début !;Quelle est la taxe à payer au plus tard le 15 de chaque mois ?;Moyen ;Quizz;3;OK;BRS;IR;TVA;;;;;;;;;;;;;;;;;;;
