MODULE;NIVEAU;;;;QUESTIONS;;;REPONSES;;;;;;;;;;;;;;;;;;;;;;;
Nom du module; A quel niveau appartient cette question ?;Nom du niveau;Message d'entrée;Message de sortie;Question;Niveau de difficulté;Type de jeu;Bonne réponse;Check réponse;Reponse 1;Reponse 2;Reponse 3;Reponse 4;Reponse 5;Reponse 6;Reponse 7;Reponse 8;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent être pratiquées grâce à la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En améliorant votre impact personnel, vous avez su convaincre vos premiers clients et réaliser vos premières ventes… Bravo !;La communication peut être définie comme;Facile;Quizz;1;OK;L'émission d'un message vers un récepteur;Une conception philosophique des années 1970;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent être pratiquées grâce à la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En améliorant votre impact personnel, vous avez su convaincre vos premiers clients et réaliser vos premières ventes… Bravo !;Les gestes ne sont pas une forme de communication;Facile;Quizz;2;OK;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent être pratiquées grâce à la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En améliorant votre impact personnel, vous avez su convaincre vos premiers clients et réaliser vos premières ventes… Bravo !;"Il existe 3 formes de communication, verbale, non-verbale et ...";Facile;Quizz;3;OK;Gestuelle;Claire;Écrite;Concise;;;;;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent être pratiquées grâce à la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En améliorant votre impact personnel, vous avez su convaincre vos premiers clients et réaliser vos premières ventes… Bravo !;connexion.jpg;Facile;1 image 4 mots;1;OK;Connexion;Admiration ;Complémentarité;Accusation;;;;;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent être pratiquées grâce à la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En améliorant votre impact personnel, vous avez su convaincre vos premiers clients et réaliser vos premières ventes… Bravo !;enthousiasme.jpg;Facile;1 image 4 mots;2;OK;Amitié;Enthousiasme;Dialogue;Théâtre;;;;;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent être pratiquées grâce à la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En améliorant votre impact personnel, vous avez su convaincre vos premiers clients et réaliser vos premières ventes… Bravo !;confiante.jpg;Facile;1 image 4 mots;3;OK;Beauté;Femme;Confiante;Habillé;;;;;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent être pratiquées grâce à la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En améliorant votre impact personnel, vous avez su convaincre vos premiers clients et réaliser vos premières ventes… Bravo !;Confiance en soi;Facile;Nuage de mots;1,2,3,4;OK;Préparation;Répétition;Respiration;Enthousiasme;Bégaiement;Vantardise;Émotions;Hésitation;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent être pratiquées grâce à la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En améliorant votre impact personnel, vous avez su convaincre vos premiers clients et réaliser vos premières ventes… Bravo !;Message;Facile;Nuage de mots;1,2,3,4;OK;Mots;Parole;Dialogue;Argument;Mésentente;Facteur;Envoi;Code postal;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent être pratiquées grâce à la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En améliorant votre impact personnel, vous avez su convaincre vos premiers clients et réaliser vos premières ventes… Bravo !;Langage;Facile;Nuage de mots;1,2,3,4,5;OK;Wolof;Soutenu;Français;Traduction;Informel;Unique;Familier;Unilatéral;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter à leur auditoire et délivrer le message qui fait la différence, en faites-vous partie ?;Lors de votre visite auprès d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;Pour être un bon communiquant, on doit apprendre à ne pas avoir peur;Facile;Quizz;1;OK;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter à leur auditoire et délivrer le message qui fait la différence, en faites-vous partie ?;Lors de votre visite auprès d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;On ne naît pas bon communiquant, on le devient;Facile;Quizz;1;OK;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter à leur auditoire et délivrer le message qui fait la différence, en faites-vous partie ?;Lors de votre visite auprès d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;Un bon communiquant est quelqu'un qui …;Moyen;Quizz;2;OK;Sait se faire entendre;Sait délivrer le bon message au bon moment;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter à leur auditoire et délivrer le message qui fait la différence, en faites-vous partie ?;Lors de votre visite auprès d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;Un bon communiquant montre à une personne rationnelle ...;Moyen;Quizz;1;OK;Surtout des chiffres pour la rassurer;Surtout de belles images pour l'inspirer;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter à leur auditoire et délivrer le message qui fait la différence, en faites-vous partie ?;Lors de votre visite auprès d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;Un bon communiquant montre à une personne émotionnelle ...;Moyen;Quizz;2;OK;Surtout des chiffres pour la rassurer;Surtout de belles images pour l'inspirer;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter à leur auditoire et délivrer le message qui fait la différence, en faites-vous partie ?;Lors de votre visite auprès d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;feedback.jpg;Facile;1 image 4 mots;1;OK;Feedback;Conflit;Confusion;Folie;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter à leur auditoire et délivrer le message qui fait la différence, en faites-vous partie ?;Lors de votre visite auprès d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;messageclé.jpg;Facile;1 image 4 mots;1;OK;Message clé;Emménagement;Histoire;Serrurier;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter à leur auditoire et délivrer le message qui fait la différence, en faites-vous partie ?;Lors de votre visite auprès d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;Message impactant;Moyen;Nuage de mots;1,2,3,4;OK;Court;Synthétique;Efficace;Actionnable;Flou;Incomplet;Ambigüe;Générique;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter à leur auditoire et délivrer le message qui fait la différence, en faites-vous partie ?;Lors de votre visite auprès d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;Communication;Moyen;Nuage de mots;1,2,3,4,5;OK;Talent;Effort;Apprentissage;Créativité;Avantage;Option;Excentricité;Rêve;;;;;;;;;;;;;;
COMMUNICATION;3;Les différentes façons de communiquer;Tout comme l'être humain, l'entreprise peut communiquer de différentes façons pour toucher son audience.;En ouvrant de nouveaux canaux de communication, vous avez élargi votre base de clientèle, ce sont donc de nouvelles commandes qui viennent encore faire grandir votre chiffre d'affaire !;Qu’est-ce qu’un canal de communication ?;Facile;Quizz;1;OK;Un outil de transmission de l’information d’un émetteur à un récepteur;Un outils de transmission de l’information de l’entreprise vers les médias;Un réseau permettant aux entrepreneurs de communiquer;C'est la réponse de l’émetteur suite à l'information;;;;;;;;;;;;;;;;;;
COMMUNICATION;3;Les différentes façons de communiquer;Tout comme l'être humain, l'entreprise peut communiquer de différentes façons pour toucher son audience.;En ouvrant de nouveaux canaux de communication, vous avez élargi votre base de clientèle, ce sont donc de nouvelles commandes qui viennent encore faire grandir votre chiffre d'affaire !;Lequel de ces éléments n'est pas un canal de communication ?;Facile;Quizz;4;OK;Les médias traditionnels (radio, télévision);Les réseaux sociaux (Facebook, WhatsApp, Twitter);Le bouche à oreille;La levée de fonds;;;;;;;;;;;;;;;;;;
COMMUNICATION;3;Les différentes façons de communiquer;Tout comme l'être humain, l'entreprise peut communiquer de différentes façons pour toucher son audience.;En ouvrant de nouveaux canaux de communication, vous avez élargi votre base de clientèle, ce sont donc de nouvelles commandes qui viennent encore faire grandir votre chiffre d'affaire !;Quels sont les objectifs de la communication ?;Moyen;Quizz;4;OK;Toucher une cible (récepteur);Faire passer le récepteur à l'action (exemple : achat);Faire le buzz;Toutes les réponses;;;;;;;;;;;;;;;;;;
