MODULE;NIVEAU;;;;QUESTIONS;;;REPONSES;;;;;;;;;;;;;;;;;;;;;;;
Nom du module; A quel niveau appartient cette question ?;Nom du niveau;Message d'entr‚e;Message de sortie;Question;Niveau de difficult‚;Type de jeu;Bonne r‚ponse;Check r‚ponse;Reponse 1;Reponse 2;Reponse 3;Reponse 4;Reponse 5;Reponse 6;Reponse 7;Reponse 8;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent ˆtre pratiqu‚es grƒce … la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En am‚liorant votre impact personnel, vous avez su convaincre vos premiers clients et r‚aliser vos premiŠres ventes? Bravo !;La communication peut ˆtre d‚finie comme;Facile;Quizz;1;OK;L'‚mission d'un message vers un r‚cepteur;Une conception philosophique des ann‚es 1970;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent ˆtre pratiqu‚es grƒce … la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En am‚liorant votre impact personnel, vous avez su convaincre vos premiers clients et r‚aliser vos premiŠres ventes? Bravo !;Les gestes ne sont pas une forme de communication;Facile;Quizz;2;OK;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent ˆtre pratiqu‚es grƒce … la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En am‚liorant votre impact personnel, vous avez su convaincre vos premiers clients et r‚aliser vos premiŠres ventes? Bravo !;"Il existe 3 formes de communication, verbale, non-verbale et ...
";Facile;Quizz;3;OK;Gestuelle;Claire;crite;Concise;;;;;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent ˆtre pratiqu‚es grƒce … la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En am‚liorant votre impact personnel, vous avez su convaincre vos premiers clients et r‚aliser vos premiŠres ventes? Bravo !;connexion.jpg;Facile;1 image 4 mots;1;OK;Connexion;Admiration ;Compl‚mentarit‚;Accusation;;;;;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent ˆtre pratiqu‚es grƒce … la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En am‚liorant votre impact personnel, vous avez su convaincre vos premiers clients et r‚aliser vos premiŠres ventes? Bravo !;enthousiasme.jpg;Facile;1 image 4 mots;2;OK;Amiti‚;Enthousiasme;Dialogue;Th‚ƒtre;;;;;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent ˆtre pratiqu‚es grƒce … la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En am‚liorant votre impact personnel, vous avez su convaincre vos premiers clients et r‚aliser vos premiŠres ventes? Bravo !;confiante.jpg;Facile;1 image 4 mots;3;OK;Beaut‚;Femme;Confiante;Habill‚;;;;;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent ˆtre pratiqu‚es grƒce … la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En am‚liorant votre impact personnel, vous avez su convaincre vos premiers clients et r‚aliser vos premiŠres ventes? Bravo !;Confiance en soi;Facile;Nuage de mots;1,2,3,4;OK;Pr‚paration;R‚p‚tition;Respiration;Enthousiasme;B‚gaiement;Vantardise;motions;H‚sitation;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent ˆtre pratiqu‚es grƒce … la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En am‚liorant votre impact personnel, vous avez su convaincre vos premiers clients et r‚aliser vos premiŠres ventes? Bravo !;Message;Facile;Nuage de mots;1,2,3,4;OK;Mots;Parole;Dialogue;Argument;M‚sentente;Facteur;Envoi;Code postal;;;;;;;;;;;;;;
COMMUNICATION;1;Qui s'exprime bien communique bien;Les bases de la communication peuvent ˆtre pratiqu‚es grƒce … la l'expression et la prise de parole en public. Connectez vous, prenez confiance et vous saurez mettre en valeur votre startup ! ;En am‚liorant votre impact personnel, vous avez su convaincre vos premiers clients et r‚aliser vos premiŠres ventes? Bravo !;Langage;Facile;Nuage de mots;1,2,3,4,5;OK;Wolof;Soutenu;Fran‡ais;Traduction;Informel;Unique;Familier;Unilat‚ral;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter … leur auditoire et d‚livrer le message qui fait la diff‚rence, en faites-vous partie ?;Lors de votre visite auprŠs d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;Pour ˆtre un bon communiquant, on doit apprendre … ne pas avoir peur;Facile;Quizz;1;OK;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter … leur auditoire et d‚livrer le message qui fait la diff‚rence, en faites-vous partie ?;Lors de votre visite auprŠs d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;On ne naŒt pas bon communiquant, on le devient;Facile;Quizz;1;OK;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter … leur auditoire et d‚livrer le message qui fait la diff‚rence, en faites-vous partie ?;Lors de votre visite auprŠs d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;Un bon communiquant est quelqu'un qui ?;Moyen;Quizz;2;OK;Sait se faire entendre;Sait d‚livrer le bon message au bon moment;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter … leur auditoire et d‚livrer le message qui fait la diff‚rence, en faites-vous partie ?;Lors de votre visite auprŠs d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;Un bon communiquant montre … une personne rationnelle ...;Moyen;Quizz;1;OK;Surtout des chiffres pour la rassurer;Surtout de belles images pour l'inspirer;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter … leur auditoire et d‚livrer le message qui fait la diff‚rence, en faites-vous partie ?;Lors de votre visite auprŠs d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;Un bon communiquant montre … une personne ‚motionnelle ...;Moyen;Quizz;2;OK;Surtout des chiffres pour la rassurer;Surtout de belles images pour l'inspirer;;;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter … leur auditoire et d‚livrer le message qui fait la diff‚rence, en faites-vous partie ?;Lors de votre visite auprŠs d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;feedback.jpg;Facile;1 image 4 mots;1;OK;Feedback;Conflit;Confusion;Folie;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter … leur auditoire et d‚livrer le message qui fait la diff‚rence, en faites-vous partie ?;Lors de votre visite auprŠs d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;messagecl‚.jpg;Facile;1 image 4 mots;1;OK;Message cl‚;Emm‚nagement;Histoire;Serrurier;;;;;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter … leur auditoire et d‚livrer le message qui fait la diff‚rence, en faites-vous partie ?;Lors de votre visite auprŠs d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;Message impactant;Moyen;Nuage de mots;1,2,3,4;OK;Court;Synth‚tique;Efficace;Actionnable;Flou;Incomplet;Ambige;G‚n‚rique;;;;;;;;;;;;;;
COMMUNICATION;2;Qu'est ce qu'un bon communicant ? ;Les meilleurs communicants savent s'adapter … leur auditoire et d‚livrer le message qui fait la diff‚rence, en faites-vous partie ?;Lors de votre visite auprŠs d'une structure d'incubation, vous avez su montrer le potentiel de votre projet, l'accompagnement va vous permettre de mieux comprendre vos clients et augmenter vos revenus !;Communication;Moyen;Nuage de mots;1,2,3,4,5;OK;Talent;Effort;Apprentissage;Cr‚ativit‚;Avantage;Option;Excentricit‚;Rˆve;;;;;;;;;;;;;;
COMMUNICATION;3;Les diff‚rentes fa‡ons de communiquer;Tout comme l'ˆtre humain, l'entreprise peut communiquer de diff‚rentes fa‡ons pour toucher son audience.;En ouvrant de nouveaux canaux de communication, vous avez ‚largi votre base de clientŠle, ce sont donc de nouvelles commandes qui viennent encore faire grandir votre chiffre d'affaire !;Qu?est-ce qu?un canal de communication ?;Facile;Quizz;1;OK;Un outil de transmission de l?information d?un ‚metteur … un r‚cepteur;Un outils de transmission de l?information de l?entreprise vers les m‚dias;Un r‚seau permettant aux entrepreneurs de communiquer;C'est la r‚ponse de l?‚metteur suite … l'information;;;;;;;;;;;;;;;;;;
COMMUNICATION;3;Les diff‚rentes fa‡ons de communiquer;Tout comme l'ˆtre humain, l'entreprise peut communiquer de diff‚rentes fa‡ons pour toucher son audience.;En ouvrant de nouveaux canaux de communication, vous avez ‚largi votre base de clientŠle, ce sont donc de nouvelles commandes qui viennent encore faire grandir votre chiffre d'affaire !;Lequel de ces ‚l‚ments n'est pas un canal de communication ?;Facile;Quizz;4;OK;Les m‚dias traditionnels (radio, t‚l‚vision);Les r‚seaux sociaux (Facebook, WhatsApp, Twitter);Le bouche … oreille;La lev‚e de fonds;;;;;;;;;;;;;;;;;;
