MODULE;NIVEAU;;;;QUESTIONS;;;REPONSES;;;;;;;;;;;;;;;;;;;;;;;
Nom du module; A quel niveau appartient cette question ?;Nom du niveau;Message d'entrée;Message de sortie;Question;Niveau de difficulté;Type de jeu;Bonne réponse;Check réponse;Reponse 1;Reponse 2;Reponse 3;Reponse 4;Reponse 5;Reponse 6;Reponse 7;Reponse 8;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;Quelle startup Sénégalaise a réalisé la plus importante levée de fond ? ;Moyen;Quizz;3;OK; LafricaMobile ;Niokobok;Touch;Yup;;;;;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;Quelle startup évolue dans le domaine de la Santé ?;Moyen;Quizz;3;OK;ADN;Bayseddo;Eyone;Baobab +;;;;;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;Quelle startup n’est pas dans le domaine de la E-éducation ;Moyen;Quizz;1;OK;Firefly;Volkeno;Ateliers des Génies;SenFablab;;;;;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;"Parmi ces structures laquelle ne dépend pas de l’Etat du Sénégal ?";Difficile;Quizz;4;OK;DER;ANPEJ;ADEPME;OPTIC;;;;;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;Parmi ces startups lesquelles s’intéressent à l’agriculture ?;Difficile;Quizz;2;OK;Lafricamobile;Lifantou;Weego;Teralgan;;;;;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;Quel est le tout  premier incubateur d’Afrique de l’Ouest ?;Facile;Quizz;2;OK;CONCREE;CTIC;;;;;;;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;Au Sénégal  A qui dois-je m’adresser pour mettre en place un réseau privé indépendant ?;Difficile;Quizz;1;OK;ARTP;OPTIC;ADIE;FONGIP;;;;;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;Investisseur;Difficile;Nuage de mots;1,2,3,4;OK;Orange Digital Venture;Kinayalab;Partech;Business Angel;ADN Corp;DER;APIX;Jokkolabs;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;Qui organise le Dakar Digital Show?;Facile;Quizz;2;OK;La Sonatel;Concree;ATOS;Jokkolabs;;;;;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;Quelle structure peut m'aider à réaliser des impressions en 3D?;Facile;Quizz;2;OK;Impact hub;SenFablab;;;;;;;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;Pilotée par Jokkolabs, quand a lieu la semaine mondiale de l'entrepreneuriat?;Difficile;Quizz;3;OK;septembre;octobre;novembre;avril;;;;;;;;;;;;;;;;;;
