MODULE;NIVEAU;;;;QUESTIONS;;;REPONSES;;;;;;;;;;;;;;;;;;;;;;;
Nom du module; A quel niveau appartient cette question ?;Nom du niveau;Message d'entrée;Message de sortie;Question;Niveau de difficulté;Type de jeu;Bonne réponse;Check réponse;Reponse 1;Reponse 2;Reponse 3;Reponse 4;Reponse 5;Reponse 6;Reponse 7;Reponse 8;;;;;;;;;;;;;;
Financement;1;Education financière;Bonjour je suis Carine de la DER, je vais vous accompagner dans le module sur le financement. Mais avant tout, vérifions ensemble que nous parlons bien de la même chose !;Bravo, les notions relatives au financement vous sont familières et nous pouvons avancer ensemble. Votre startup est prête à avancer sur la voie du financement !;Le financement peut autant permettre d'investir que de financer l'activité de l'entreprise.;Facile;Quizz;1;OK;Vrai ;Faux;;;;;;;;;;;;;;;;;;;;
Financement;1;Education financière;Bonjour je suis Carine de la DER, je vais vous accompagner dans le module sur le financement. Mais avant tout, vérifions ensemble que nous parlons bien de la même chose !;Bravo, les notions relatives au financement vous sont familières et nous pouvons avancer ensemble. Votre startup est prête à avancer sur la voie du financement !;Il existe deux phases pour un budget, le prévisionnel et le …;Facile;Quizz;4;OK;Défini;prévisualisé;permanent;réalisé;;;;;;;;;;;;;;;;;;
Financement;1;Education financière;Bonjour je suis Carine de la DER, je vais vous accompagner dans le module sur le financement. Mais avant tout, vérifions ensemble que nous parlons bien de la même chose !;Bravo, les notions relatives au financement vous sont familières et nous pouvons avancer ensemble. Votre startup est prête à avancer sur la voie du financement !;Parmi les qualités ci-dessous, laquelle est prioritaire quand il s'agit de gestion financière ?;Facile;Quizz;4;OK;Rigueur;Créativité;Ponctualité;Pertinence;;;;;;;;;;;;;;;;;;
Financement;1;Education financière;Bonjour je suis Carine de la DER, je vais vous accompagner dans le module sur le financement. Mais avant tout, vérifions ensemble que nous parlons bien de la même chose !;Bravo, les notions relatives au financement vous sont familières et nous pouvons avancer ensemble. Votre startup est prête à avancer sur la voie du financement !;Si vous financez vous-même votre startup, cela vous permet de  ...;Moyen;Quizz;1;OK;Rester seul décideur et gagner du temps;Avoir accès à une grosse somme d'argent;;;;;;;;;;;;;;;;;;;;
Financement;1;Education financière;Bonjour je suis Carine de la DER, je vais vous accompagner dans le module sur le financement. Mais avant tout, vérifions ensemble que nous parlons bien de la même chose !;Bravo, les notions relatives au financement vous sont familières et nous pouvons avancer ensemble. Votre startup est prête à avancer sur la voie du financement !;Une des principales difficultés d’un entrepreneur est de distinguer l’argent dédié au fonctionnement de l’argent dédié;Difficile;Quizz;2;OK;à la paie du personnel;au développement de l’entreprise;à l’analyse de la concurrence;aux impôts;;;;;;;;;;;;;;;;;;
Financement;1;Education financière;Bonjour je suis Carine de la DER, je vais vous accompagner dans le module sur le financement. Mais avant tout, vérifions ensemble que nous parlons bien de la même chose !;Bravo, les notions relatives au financement vous sont familières et nous pouvons avancer ensemble. Votre startup est prête à avancer sur la voie du financement !;Si vous avez un mentor, il pourrait également être votre ...;Difficile;Quizz;4;OK;Proche qui vous finance via du love money;Business Angel qui participe à votre levée de fond;Expert qui vous aide à aller voir des banques;Toutes les réponses;;;;;;;;;;;;;;;;;;
Financement;1;Education financière;Bonjour je suis Carine de la DER, je vais vous accompagner dans le module sur le financement. Mais avant tout, vérifions ensemble que nous parlons bien de la même chose !;Bravo, les notions relatives au financement vous sont familières et nous pouvons avancer ensemble. Votre startup est prête à avancer sur la voie du financement !;Crédit;Moyen;Nuage de mots;1,2,3,4;OK;Remboursement;Intérêts;Mensualités;Compte en banque;Orange Money;Don;Subvention;Etat;;;;;;;;;;;;;;
Financement;1;Education financière;Bonjour je suis Carine de la DER, je vais vous accompagner dans le module sur le financement. Mais avant tout, vérifions ensemble que nous parlons bien de la même chose !;Bravo, les notions relatives au financement vous sont familières et nous pouvons avancer ensemble. Votre startup est prête à avancer sur la voie du financement !;anticipation.jpg;Moyen;1 image 4 mots;1;OK;Anticipation;Dominos;Protection;étirement;;;;;;;;;;;;;;;;;;
Financement;1;Education financière;Bonjour je suis Carine de la DER, je vais vous accompagner dans le module sur le financement. Mais avant tout, vérifions ensemble que nous parlons bien de la même chose !;Bravo, les notions relatives au financement vous sont familières et nous pouvons avancer ensemble. Votre startup est prête à avancer sur la voie du financement !;Budget;Facile;Pendu;NA;OK; ;;;;;;;;;;;;;;;;;;;;;
Financement;1;Education financière;Bonjour je suis Carine de la DER, je vais vous accompagner dans le module sur le financement. Mais avant tout, vérifions ensemble que nous parlons bien de la même chose !;Bravo, les notions relatives au financement vous sont familières et nous pouvons avancer ensemble. Votre startup est prête à avancer sur la voie du financement !;Le microcrédit est un mode de financement réservé aux activités rurales;Facile;Quizz;1;OK;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
Financement;1;Education financière;Bonjour je suis Carine de la DER, je vais vous accompagner dans le module sur le financement. Mais avant tout, vérifions ensemble que nous parlons bien de la même chose !;Bravo, les notions relatives au financement vous sont familières et nous pouvons avancer ensemble. Votre startup est prête à avancer sur la voie du financement !;Epargne;Facile;Pendu;NA;KO;;;;;;;;;;;;;;;;;;;;;;
Financement;1;Education financière;Bonjour je suis Carine de la DER, je vais vous accompagner dans le module sur le financement. Mais avant tout, vérifions ensemble que nous parlons bien de la même chose !;Bravo, les notions relatives au financement vous sont familières et nous pouvons avancer ensemble. Votre startup est prête à avancer sur la voie du financement !;Comment financer sa startup ?;Facile;Quizz;1;OK;Levée de fonds;Crowdfunding;Boulangerie;;;;;;;;;;;;;;;;;;;
