MODULE;NIVEAU;;;;QUESTIONS;;;REPONSES;;;;;;;;;;;;;;;;;;;;;;;
Nom du module; A quel niveau appartient cette question ?;Nom du niveau;Message d'entrée;Message de sortie;Question;Niveau de difficulté;Type de jeu;Bonne réponse;Check réponse;Reponse 1;Reponse 2;Reponse 3;Reponse 4;Reponse 5;Reponse 6;Reponse 7;Reponse 8;;;;;;;;;;;;;;
Leadership;1;Le leadership commence par la confiance en soi ;Bonjour je suis Inza de chez Toastmasters et je vais vous accompagner dans ce module sur le Leadership ! Tout d'abord, notez que pour un bon leader, le mental c'est fondamental !;Vous avez désormais une bonne estime de vous même. Cela renforce votre confiance en vous. Tout est possible désormais !;Le stress se nourrit de …;Facile;Quizz;1;OK;Manque de préparation;Manque de talent;;;;;;;;;;;;;;;;;;;;
Leadership;1;Le leadership commence par la confiance en soi ;Bonjour je suis Inza de chez Toastmasters et je vais vous accompagner dans ce module sur le Leadership ! Tout d'abord, notez que pour un bon leader, le mental c'est fondamental !;Vous avez désormais une bonne estime de vous même. Cela renforce votre confiance en vous. Tout est possible désormais !;Les feedbacks réguliers de la part des clients permettent d’avoir confiance en son projet;Facile;Quizz;1;OK;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
Leadership;1;Le leadership commence par la confiance en soi ;Bonjour je suis Inza de chez Toastmasters et je vais vous accompagner dans ce module sur le Leadership ! Tout d'abord, notez que pour un bon leader, le mental c'est fondamental !;Vous avez désormais une bonne estime de vous même. Cela renforce votre confiance en vous. Tout est possible désormais !;La confiance en soi est favorisée par le fait d’avoir …;Moyen;Quizz;4;OK;une solution qui répond à un vrai problème;un problème qui correspond à un marché ;une solution qui s’applique à un marché;toutes les réponses;;;;;;;;;;;;;;;;;;
Leadership;1;Le leadership commence par la confiance en soi ;Bonjour je suis Inza de chez Toastmasters et je vais vous accompagner dans ce module sur le Leadership ! Tout d'abord, notez que pour un bon leader, le mental c'est fondamental !;Vous avez désormais une bonne estime de vous même. Cela renforce votre confiance en vous. Tout est possible désormais !;Pour éviter de douter, il est important de s’appuyer sur …;Moyen;Quizz;2;OK;des chiffres;des mentors ;son oncle;son ou sa meilleur(e) ami(e);;;;;;;;;;;;;;;;;;
Leadership;2;Faire adopter une vision inspirante;La capacité de motiver les gens - de leur instiller le souhait de mieux faire - est l'une des précieuses compétences que peut avoir un leader.;Vous avez une équipe engagée à vos côtés avec un objectif commun et une vision claire. Ils savent exactement comment faire avancer votre entreprise. Bravo !;Pour faire adhérer autour d’une vision inspirante, il vaut mieux cultiver un environnement …;Moyen;Quizz;1;OK;Inclusif;Exclusif;;;;;;;;;;;;;;;;;;;;
Leadership;2;Faire adopter une vision inspirante;La capacité de motiver les gens - de leur instiller le souhait de mieux faire - est l'une des précieuses compétences que peut avoir un leader.;Vous avez une équipe engagée à vos côtés avec un objectif commun et une vision claire. Ils savent exactement comment faire avancer votre entreprise. Bravo !;Pour qu’une audience adhère à une vision à la fin d’un discours, un bon leader doit répondre à la question;Moyen;Quizz;1;OK;pourquoi maintenant ?;comment ?;avec qui ? ;combien ça coûte ?;;;;;;;;;;;;;;;;;;
Leadership;2;Faire adopter une vision inspirante;La capacité de motiver les gens - de leur instiller le souhait de mieux faire - est l'une des précieuses compétences que peut avoir un leader.;Vous avez une équipe engagée à vos côtés avec un objectif commun et une vision claire. Ils savent exactement comment faire avancer votre entreprise. Bravo !;Une vision inspirante doit forcément;Facile;Quizz;2;OK;montrer qu’elle peut générer beaucoup d’argent ;contribuer au bien commun ;servir les intérêts des plus puissants;être liée à des avancées technologiques;;;;;;;;;;;;;;;;;;
Leadership;2;Faire adopter une vision inspirante;La capacité de motiver les gens - de leur instiller le souhait de mieux faire - est l'une des précieuses compétences que peut avoir un leader.;Vous avez une équipe engagée à vos côtés avec un objectif commun et une vision claire. Ils savent exactement comment faire avancer votre entreprise. Bravo !;Un leader sait associer les intérêts de l’entreprise avec;Moyen;Quizz;1;OK;les intérêts individuels de ses collaborateurs;les politiques publiques;les aléas de la météo;ses désirs personnels;;;;;;;;;;;;;;;;;;
Leadership;3;Engager sa famille et ses proches;Les leaders ont besoin de personnes proches et à l'écoute pour les aider à affronter les défis qu'ils rencontrent.;Avec votre famille et vos proches qui vous soutiennent, vous avez une bonne base ! Bien joué !;La famille est souvent un élément clé de tout projet professionnel;Facile;Quizz;1;OK;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
Leadership;3;Engager sa famille et ses proches;Les leaders ont besoin de personnes proches et à l'écoute pour les aider à affronter les défis qu'ils rencontrent.;Avec votre famille et vos proches qui vous soutiennent, vous avez une bonne base ! Bien joué !;Vous souhaitez valoriser votre travail auprès de votre grand-père qui ne comprend pourquoi vous êtes entrepreneur. Que lui montrez-vous ? ;Difficile;Quizz;1;OK;des feedbacks positifs de vos clients et partenaires ;un flyer qui présente votre entreprise;votre fiche de paie;la photo de votre équipe au dernier teambuilding ;;;;;;;;;;;;;;;;;;
Leadership;3;Engager sa famille et ses proches;Les leaders ont besoin de personnes proches et à l'écoute pour les aider à affronter les défis qu'ils rencontrent.;Avec votre famille et vos proches qui vous soutiennent, vous avez une bonne base ! Bien joué !;Cela fait maintenant 3 mois que vous vous êtes lancé à 100% dans un projet entrepreneurial, vos parents sont sceptiques quant à votre avenir. Que décidez-vous de faire ?;Difficile;Quizz;2;OK;leur dire qu’ils sont trop vieux pour comprendre;les emmener avec vous à votre prochain rendez-vous avec des partenaires;les inviter à votre prochain événement où vous exposez votre projet;vous leur expliquez pour la centième fois votre projet, ils finiront bien par comprendre !;;;;;;;;;;;;;;;;;;
Leadership;3;Engager sa famille et ses proches;Les leaders ont besoin de personnes proches et à l'écoute pour les aider à affronter les défis qu'ils rencontrent.;Avec votre famille et vos proches qui vous soutiennent, vous avez une bonne base ! Bien joué !;Quel est le meilleur rôle que peut jouer votre famille dans votre projet entrepreneurial  ?;Moyen;Quizz;1;OK;des ambassadeurs de votre projet, prêts à le vendre dans la queue du supermarché ;des investisseurs, prêt à vous donner tout leur argent pour le développer;des clients, même si le produit n’est pas vraiment fait pour eux;votre famille n’a rien à voir avec votre projet;;;;;;;;;;;;;;;;;;
Leadership;4;Guider son équipe comme un bon leader;Les leaders savent que les équipes constituent le meilleur moyen permettant d'assurer la mission et de réaliser les objectifs d'une entreprise.;Vous avez une bonne équipe composée de diverses compétences. Cela favorise ia créativité du groupe et un meilleur rendement. Continuez comme ça !;Un bon leader sait instiller dans une équipe la culture;Moyen;Quizz;1;OK;des feedbacks ;du mérite;de la performance;du manioc;;;;;;;;;;;;;;;;;;
Leadership;4;Guider son équipe comme un bon leader;Les leaders savent que les équipes constituent le meilleur moyen permettant d'assurer la mission et de réaliser les objectifs d'une entreprise.;Vous avez une bonne équipe composée de diverses compétences. Cela favorise ia créativité du groupe et un meilleur rendement. Continuez comme ça !;Un bon manager sait établir un équilibre entre informel et exemplarité ? ;Facile;Quizz;1;OK;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
Leadership;4;Guider son équipe comme un bon leader;Les leaders savent que les équipes constituent le meilleur moyen permettant d'assurer la mission et de réaliser les objectifs d'une entreprise.;Vous avez une bonne équipe composée de diverses compétences. Cela favorise ia créativité du groupe et un meilleur rendement. Continuez comme ça !;Pour favoriser la cohésion d’équipe, rien de tel que de;Facile;Quizz;2;OK;Mettre les collaborateurs en concurrence;Sortir des lieux de travail pour un moment de partage informel;Imposer des congés;Une autobiographie du CEO dédicacée;;;;;;;;;;;;;;;;;;
Leadership;5;Leadership pour un entrepreneur;Une équipe avec un bon leader surmonte les obstacles de tout type pour réaliser ses objectifs.;Vous avez créé et entretenu un environnement qui motive chacun des membres de votre équipe. Excellent travail !;Un entrepreneur qui est un bon leader sait parler de son produit et en même temps de …;Moyen;Quizz;1;OK;sa vision;son emploi du temps;son équipe;sa situation financière;;;;;;;;;;;;;;;;;;
Leadership;5;Leadership pour un entrepreneur;Une équipe avec un bon leader surmonte les obstacles de tout type pour réaliser ses objectifs.;Vous avez créé et entretenu un environnement qui motive chacun des membres de votre équipe. Excellent travail !;On dit d’un entrepreneur qu’il a du leadership s’il sait …;Facile;Quizz;1;OK;prendre la parole en public avec impact;expliquer parfaitement comment son produit fonctionne;critiquer la concurrence;remercier ses partenaires;;;;;;;;;;;;;;;;;;
Leadership;5;Leadership pour un entrepreneur;Une équipe avec un bon leader surmonte les obstacles de tout type pour réaliser ses objectifs.;Vous avez créé et entretenu un environnement qui motive chacun des membres de votre équipe. Excellent travail !;Un bon leader ne se remet jamais en question;Facile;Quizz;2;OK;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
Leadership;5;Leadership pour un entrepreneur;Une équipe avec un bon leader surmonte les obstacles de tout type pour réaliser ses objectifs.;Vous avez créé et entretenu un environnement qui motive chacun des membres de votre équipe. Excellent travail !;Pour un entrepreneur, le leadership permet de faire adhérer au projet les personnes clés comme;Moyen;Quizz;1;OK;des talents et des mentors;des investisseurs et des partenaires;des clients;la famille et les proches;;;;;;;;;;;;;;;;;;
Leadership;1;Le leadership commence par la confiance en soi ;Bonjour je suis Inza de chez Toastmasters et je vais vous accompagner dans ce module sur le Leadership ! Tout d'abord, notez que pour un bon leader, le mental c'est fondamental !;Vous avez désormais une bonne estime de vous même. Cela renforce votre confiance en vous. Tout est possible désormais !;Une bonne estime de soi, renforce la confiance en soi !;Facile;Quizz;1;OK;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
Leadership;2;Faire adopter une vision inspirante;La capacité de motiver les gens - de leur instiller le souhait de mieux faire - est l'une des précieuses compétences que peut avoir un leader.;Vous avez une équipe engagée à vos côtés avec un objectif commun et une vision claire. Ils savent exactement comment faire avancer votre entreprise. Bravo !;Bonne équipe;Moyen;Nuage de mots;1,2,3,4,5;OK;Vision;Objectif;Coordination;Engagement;Communication;Isolement;Exclusion;Famille;;;;;;;;;;;;;;
Leadership;3;Engager sa famille et ses proches;Les leaders ont besoin de personnes proches et à l'écoute pour les aider à affronter les défis qu'ils rencontrent.;Avec votre famille et vos proches qui vous soutiennent, vous avez une bonne base ! Bien joué !;La famille va vous aider à tout surmonter.;Facile;Phrase à trous;1;OK;La famille;L'école ;La concentration;L'héritage;;;;;;;;;;;;;;;;;;
Leadership;4;Guider son équipe comme un bon leader;Les leaders savent que les équipes constituent le meilleur moyen permettant d'assurer la mission et de réaliser les objectifs d'une entreprise.;Vous avez une bonne équipe composée de diverses compétences. Cela favorise ia créativité du groupe et un meilleur rendement. Continuez comme ça !;Le travail d'équipe est souvent synonyme d'une grande famille et d'un meilleur rendement.;Difficile;Phrase à trous;1,2;OK;Créativité;Rendement;Sympathie;emménagement;;;;;;;;;;;;;;;;;;
Leadership;5;Leadership pour un entrepreneur;Une équipe avec un bon leader surmonte les obstacles de tout type pour réaliser ses objectifs.;Vous avez créé et entretenu un environnement qui motive chacun des membres de votre équipe. Excellent travail !;equipe.jpg;Moyen;1 image 4 mots;1;OK;Equipe;Salle de réunion;Bureau vide;Course;;;;;;;;;;;;;;;;;;
Leadership;1;Le leadership commence par la confiance en soi ;Bonjour je suis Inza de chez Toastmasters et je vais vous accompagner dans ce module sur le Leadership ! Tout d'abord, notez que pour un bon leader, le mental c'est fondamental !;Vous avez désormais une bonne estime de vous même. Cela renforce votre confiance en vous. Tout est possible désormais !;estime.jpg;Moyen;1 image 4 mots;1;OK;Estime;Ego;Miroir;Narcissisme;;;;;;;;;;;;;;;;;;
Leadership;2;Faire adopter une vision inspirante;La capacité de motiver les gens - de leur instiller le souhait de mieux faire - est l'une des précieuses compétences que peut avoir un leader.;Vous avez une équipe engagée à vos côtés avec un objectif commun et une vision claire. Ils savent exactement comment faire avancer votre entreprise. Bravo !;cap.jpg;Facile;1 image 4 mots;1;OK;Cap;Solitude;Rencontres ;Déroute;;;;;;;;;;;;;;;;;;
Leadership;3;Engager sa famille et ses proches;Les leaders ont besoin de personnes proches et à l'écoute pour les aider à affronter les défis qu'ils rencontrent.;Avec votre famille et vos proches qui vous soutiennent, vous avez une bonne base ! Bien joué !;communaute.jpg;Facile;1 image 4 mots;1;OK;Communauté;Fraternité;Harmonie;Origami;;;;;;;;;;;;;;;;;;
Leadership;4;Guider son équipe comme un bon leader;Les leaders savent que les équipes constituent le meilleur moyen permettant d'assurer la mission et de réaliser les objectifs d'une entreprise.;Vous avez une bonne équipe composée de diverses compétences. Cela favorise ia créativité du groupe et un meilleur rendement. Continuez comme ça !;cohesion.jpg;Moyen;1 image 4 mots;1;OK;Cohésion;Finance;Hiver;Agressivité;;;;;;;;;;;;;;;;;;
Leadership;5;Leadership pour un entrepreneur;Une équipe avec un bon leader surmonte les obstacles de tout type pour réaliser ses objectifs.;Vous avez créé et entretenu un environnement qui motive chacun des membres de votre équipe. Excellent travail !;polyvalence.jpg;Moyen;1 image 4 mots;1;OK;Polyvalence;Inefficacité;Coupant;Taille réduite;;;;;;;;;;;;;;;;;;
Leadership;1;Le leadership commence par la confiance en soi ;Bonjour je suis Inza de chez Toastmasters et je vais vous accompagner dans ce module sur le Leadership ! Tout d'abord, notez que pour un bon leader, le mental c'est fondamental !;Vous avez désormais une bonne estime de vous même. Cela renforce votre confiance en vous. Tout est possible désormais !;Stress;Moyen;Nuage de mots;1,2,3,4;OK;Mauvaise respiration;Manque de préparation;Compétition;Isolement;Gourmandise;Epanouissement;Applaudissement;Soulagement;;;;;;;;;;;;;;
Leadership;2;Faire adopter une vision inspirante;La capacité de motiver les gens - de leur instiller le souhait de mieux faire - est l'une des précieuses compétences que peut avoir un leader.;Vous avez une équipe engagée à vos côtés avec un objectif commun et une vision claire. Ils savent exactement comment faire avancer votre entreprise. Bravo !;Vision;Moyen;Nuage de mots;1,2,3,4,5;OK;Valeurs;Bien commun;Inclusion;Avenir;Promesse;Mensonge;Lunettes;Désaccord;;;;;;;;;;;;;;
Leadership;3;Engager sa famille et ses proches;Les leaders ont besoin de personnes proches et à l'écoute pour les aider à affronter les défis qu'ils rencontrent.;Avec votre famille et vos proches qui vous soutiennent, vous avez une bonne base ! Bien joué !;Valoriser;Moyen;Nuage de mots;1,2,3,4,5;OK;Communication;Concret;Expérience;Unique;Impact;Flou;Démesure;Terrain;;;;;;;;;;;;;;
Leadership;4;Guider son équipe comme un bon leader;Les leaders savent que les équipes constituent le meilleur moyen permettant d'assurer la mission et de réaliser les objectifs d'une entreprise.;Vous avez une bonne équipe composée de diverses compétences. Cela favorise ia créativité du groupe et un meilleur rendement. Continuez comme ça !;Communication interne;Moyen;Nuage de mots;1,2,3,4;OK;Teambuilding;Discussion instantanée;Feedbacks réguliers;Ecoute active;Hiérarchie;Formalisation;Sous-entendus;Préjugés;;;;;;;;;;;;;;
Leadership;5;Leadership pour un entrepreneur;Une équipe avec un bon leader surmonte les obstacles de tout type pour réaliser ses objectifs.;Vous avez créé et entretenu un environnement qui motive chacun des membres de votre équipe. Excellent travail !;Leader;Moyen;Nuage de mots;1,2,3,4,5;OK;Pragmatique;Accessible;Autonome;Soutenu;Exemplaire;Têtu;Isolé;Ami;;;;;;;;;;;;;;
Leadership;3;Engager sa famille et ses proches;Les leaders ont besoin de personnes proches et à l'écoute pour les aider à affronter les défis qu'ils rencontrent.;Avec votre famille et vos proches qui vous soutiennent, vous avez une bonne base ! Bien joué !;Nous vivons dans une société obsédée par l’opinion publique. Mais le leadership n’a jamais rien eu à voir avec la popularité. —Marco Rubio;Difficile;Phrase à trous;1,2,3,4;OK;société;l'opinion publique;popularité;n'a jamais rien eu à voir;a toujours été corrélé;la performance;;;;;;;;;;;;;;;;
Leadership;4;Guider son équipe comme un bon leader;Les leaders savent que les équipes constituent le meilleur moyen permettant d'assurer la mission et de réaliser les objectifs d'une entreprise.;Vous avez une bonne équipe composée de diverses compétences. Cela favorise ia créativité du groupe et un meilleur rendement. Continuez comme ça !;Un homme qui souhaite mener l’orchestre doit tourner son dos à la foule. —Max Lucado;Facile;Phrase à trous;1,2;OK;l'orchestre;la foule;l'argent;;;;;;;;;;;;;;;;;;;
Leadership;2;Faire adopter une vision inspirante;La capacité de motiver les gens - de leur instiller le souhait de mieux faire - est l'une des précieuses compétences que peut avoir un leader.;Vous avez une équipe engagée à vos côtés avec un objectif commun et une vision claire. Ils savent exactement comment faire avancer votre entreprise. Bravo !;Là où il n’il y a pas de vision, le peuple périt. —Proverbes 29:18;Facile;Phrase à trous;1,2;OK;vision;périt;survit;;;;;;;;;;;;;;;;;;;
